Year/Measure,8-2 E,8-2 W
1937,,1.92
1938,,1.29
1939,,1.28
1940,,1.34
1941,,1.2
1942,,0.91
1943,,1.19
1944,,1.08
1945,,0.96
1946,,1.26
1947,,1.87
1948,,1.56
1949,,1.89
1950,,1.51
1951,,0.91
1952,,0.72
1953,,0.78
1954,,0.85
1955,,1.2
1956,8.51,1.42
1957,4.51,1.73
1958,3.92,2.17
1959,3.68,2.18
1960,2.3,1.67
1961,1.61,1.48
1962,1.31,1.52
1963,0.88,1.38
1964,0.98,1.58
1965,0.77,1.71
1966,1.12,1.16
1967,2.34,1.65
1968,1.55,1.17
1969,1.06,1.44
1970,1.07,1.95
1971,1.11,1.48
1972,1.19,1.37
1973,1.5,1.46
1974,1.15,1.9
1975,1.06,1.92
1976,1.44,1.61
1977,1.64,1.74
1978,1.5,1.72
1979,1.47,1.15
1980,2.4,1.94
1981,2.6,2.19
1982,3.03,3.46
1983,2.24,2.37
1984,3.3,1.78
1985,2.89,2.48
1986,2.19,3.3
1987,1.9,1.54
1988,2.02,2.13
1989,3.74,2.17
1990,4.4,1.64
1991,3.91,1.77
1992,2.61,1.06
1993,2.17,1.1
1994,1.74,1.11
1995,1.49,0.75
1996,1.7,1.26
1997,1.84,2.33
1998,1.64,1.49
1999,1.23,1.33
2000,1.04,1.79
2001,1.07,1.66
2002,1.05,1.34
2003,0.72,1.62
2004,0.74,1.13
2005,1.37,2.15
2006,1.53,2.03
2007,2.02,1.63
2008,1.98,1.43
2009,1.42,1.45
2010,1.52,1.31
2011,1.27,1.1
2012,1.31,0.92
2013,1.29,1.04
2014,0.75,0.99
2015,1.05,0.82
2016,0.97,0.46
2017,1.24,0.76
2018,1.39,0.68
2019,1.13,0.73
2020,1.55,0.87
2021,0.98,0.68
2022,0.74,0.8
